story_id,culture,condition,orig_nodes,orig_edges,orig_density,orig_avg_degree,orig_longest_path,ret_nodes,ret_edges,ret_density,ret_avg_degree,ret_longest_path,compression_ratio_nodes,compression_ratio_edges,longest_path_ratio,density_diff,avg_degree_diff,longest_path_diff,graph_edit_distance
n10,native american,same_culture,122,121,0.00819672131147541,1.9836065573770492,121,103,102,0.009708737864077669,1.9805825242718447,102,0.8442622950819673,0.8429752066115702,0.8429752066115702,0.0015120165526022588,-0.0030240331052044933,-19,
n10,native american,cross_culture,122,121,0.00819672131147541,1.9836065573770492,121,87,86,0.011494252873563218,1.9770114942528736,86,0.7131147540983607,0.7107438016528925,0.7107438016528925,0.003297531562087808,-0.006595063124175571,-35,
p01,persian,same_culture,15,14,0.06666666666666667,1.8666666666666667,14,16,15,0.0625,1.875,15,1.0666666666666667,1.0714285714285714,1.0714285714285714,-0.004166666666666666,0.008333333333333304,1,
p01,persian,cross_culture,15,14,0.06666666666666667,1.8666666666666667,14,17,16,0.058823529411764705,1.8823529411764706,16,1.1333333333333333,1.1428571428571428,1.1428571428571428,-0.00784313725490196,0.015686274509803866,2,
p02,persian,same_culture,47,46,0.02127659574468085,1.9574468085106382,46,54,53,0.018518518518518517,1.962962962962963,53,1.148936170212766,1.1521739130434783,1.1521739130434783,-0.002758077226162333,0.005516154452324784,7,
p02,persian,cross_culture,47,46,0.02127659574468085,1.9574468085106382,46,44,43,0.022727272727272728,1.9545454545454546,43,0.9361702127659575,0.9347826086956522,0.9347826086956522,0.0014506769825918774,-0.0029013539651836506,-3,
p03,persian,same_culture,119,118,0.008403361344537815,1.9831932773109244,118,116,115,0.008620689655172414,1.9827586206896552,115,0.9747899159663865,0.9745762711864406,0.9745762711864406,0.0002173283106345989,-0.0004346566212691805,-3,
p03,persian,cross_culture,119,118,0.008403361344537815,1.9831932773109244,118,82,81,0.012195121951219513,1.975609756097561,81,0.6890756302521008,0.6864406779661016,0.6864406779661016,0.003791760606681698,-0.0075835212133634755,-37,
p04,persian,same_culture,23,22,0.043478260869565216,1.9130434782608696,22,28,27,0.03571428571428571,1.9285714285714286,27,1.2173913043478262,1.2272727272727273,1.2272727272727273,-0.007763975155279504,0.01552795031055898,5,
p04,persian,cross_culture,23,22,0.043478260869565216,1.9130434782608696,22,26,25,0.038461538461538464,1.9230769230769231,25,1.1304347826086956,1.1363636363636365,1.1363636363636365,-0.0050167224080267525,0.010033444816053505,3,
p05,persian,same_culture,25,24,0.04,1.92,24,26,25,0.038461538461538464,1.9230769230769231,25,1.04,1.0416666666666667,1.0416666666666667,-0.0015384615384615372,0.0030769230769231992,1,
p05,persian,cross_culture,25,24,0.04,1.92,24,20,19,0.05,1.9,19,0.8,0.7916666666666666,0.7916666666666666,0.010000000000000002,-0.020000000000000018,-5,
p06,persian,same_culture,69,68,0.014492753623188406,1.9710144927536233,68,61,60,0.01639344262295082,1.9672131147540983,60,0.8840579710144928,0.8823529411764706,0.8823529411764706,0.0019006889997624146,-0.0038013779995249575,-8,
p06,persian,cross_culture,69,68,0.014492753623188406,1.9710144927536233,68,45,44,0.022222222222222223,1.9555555555555555,44,0.6521739130434783,0.6470588235294118,0.6470588235294118,0.007729468599033817,-0.01545893719806779,-24,
p07,persian,same_culture,52,51,0.019230769230769232,1.9615384615384615,51,60,59,0.016666666666666666,1.9666666666666666,59,1.1538461538461537,1.1568627450980393,1.1568627450980393,-0.0025641025641025654,0.00512820512820511,8,
p07,persian,cross_culture,52,51,0.019230769230769232,1.9615384615384615,51,55,54,0.01818181818181818,1.9636363636363636,54,1.0576923076923077,1.0588235294117647,1.0588235294117647,-0.001048951048951051,0.002097902097902171,3,
p08,persian,same_culture,450,449,0.0022222222222222222,1.9955555555555555,449,152,151,0.006578947368421052,1.986842105263158,151,0.3377777777777778,0.3363028953229399,0.3363028953229399,0.00435672514619883,-0.008713450292397562,-298,
p08,persian,cross_culture,450,449,0.0022222222222222222,1.9955555555555555,449,87,86,0.011494252873563218,1.9770114942528736,86,0.19333333333333333,0.1915367483296214,0.1915367483296214,0.009272030651340996,-0.018544061302681936,-363,
p09,persian,same_culture,280,279,0.0035714285714285713,1.9928571428571429,279,219,218,0.0045662100456621,1.9908675799086757,218,0.7821428571428571,0.7813620071684588,0.7813620071684588,0.0009947814742335289,-0.001989562948467194,-61,
p09,persian,cross_culture,280,279,0.0035714285714285713,1.9928571428571429,279,62,61,0.016129032258064516,1.967741935483871,61,0.22142857142857142,0.21863799283154123,0.21863799283154123,0.012557603686635945,-0.025115207373271886,-218,
p10,persian,same_culture,267,266,0.003745318352059925,1.9925093632958801,266,111,110,0.009009009009009009,1.981981981981982,110,0.4157303370786517,0.41353383458646614,0.41353383458646614,0.005263690656949083,-0.010527381313898188,-156,
p10,persian,cross_culture,267,266,0.003745318352059925,1.9925093632958801,266,62,61,0.016129032258064516,1.967741935483871,61,0.23220973782771537,0.22932330827067668,0.22932330827067668,0.01238371390600459,-0.024767427812009135,-205,
